postid,sourcelink,text,imagelink,creationtime
'33218055','https://www.twitter.com/gold__watches/status/1212295689000099841',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Submariner 114060 No Date, New with tag. https://t.co/UGLwVntzEl #rolex #watches and #jewellery'",'','2020-01-01T08:53:10Z'
'33218056','https://www.twitter.com/gold__watches/status/1212295684021456896',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Oysterquartz Day-Date Quartz White Gold Mens Oyster Bracelet Watch 19019 https://t.co/THy9zEzDhW #rolex #watches and #jewellery'",'','2020-01-01T08:53:09Z'
'33218057','https://www.twitter.com/gold__watches/status/1212295681223876608',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Sea-Dweller 4000 Auto 43mm Steel Mens Oyster Bracelet Watch Date 126600 https://t.co/ugRTpl6U2b #rolex #watches and #jewellery'",'','2020-01-01T08:53:08Z'
'33218058','https://www.twitter.com/watchteria/status/1212293705127940097',"'#rolex #style Cute Watch with Cat Decor https://t.co/90XzyFnyJA https://t.co/wQSPPBIEeN'",'https://pbs.twimg.com/media/ENLusyLX0AE8CJS.jpg','2020-01-01T08:45:17Z'
'33218059','https://www.twitter.com/ChrisCalzone/status/1212292896621318144',"'If anyone wants to buy me a late b-day or Xmas gift, I’ll take either one of these. Thanks in advance #Rolex #SkyDweller #ChronographDaytona @ Rolex U.S.A. https://t.co/nCMDqZeT4H'",'','2020-01-01T08:42:04Z'
'33218060','https://www.twitter.com/rolexjust/status/1212291134040477700',"'新年あけましておめでとうございます🎍 #お正月 #ロレックス #rolex #デイトジャスト #datejust #令和二年 https://t.co/IJxR3ipJHF https://t.co/qHokf4VIjS'",'https://pbs.twimg.com/media/ENLsXL2XUAA7BnQ.jpg','2020-01-01T08:35:04Z'
'33218061','https://www.twitter.com/ThePureWatch/status/1212285427220127744',"'#Rolex Yacht Master 16623 Silver 18K Yellow Gold Stainless Steel Box Paper 2011 https://t.co/128DuO1pTx #Watch #Watches https://t.co/ZbGEb02Lkm'",'https://pbs.twimg.com/media/ENLnK_NXUAAF8cL.jpg','2020-01-01T08:12:23Z'
'33218062','https://www.twitter.com/diamond_crypto/status/1212272436122726400',"'#jewelry BIGGEST SALE IN MY HISTORY AS A #business BUSINESS OWNER NEXT 48 HOURS 30% OFF THE ENTIRE  STORE!!!! GOT EVERYTHING FROM ROLEX'S TO WOMEN'S EARRINGS ALL AUTHENTIC HIGH QUALITY HURRY GO NOW!!! SOMETHING FOR EVER! #gold #rolex #Diamond #store  https://t.co/psCQCNhJic'",'','2020-01-01T07:20:46Z'
'33218063','https://www.twitter.com/ami11i0n/status/1212266585743855618',"'I’m already on a different type of time. Happy New Year 🥳 First they hate then they copy. Don’t forget you seen me with it first. Already ahead of my time.⌚️ ❗️ #happynewyear #mcm #rolex #applewatch #diamondring… https://t.co/NSGaTeDx88'",'','2020-01-01T06:57:31Z'
'33218064','https://www.twitter.com/ThePureWatch/status/1212255215459741697',"'#Rolex President Datejust Yellow Gold Diamond Ladies #Watch 69178 Box Papers https://t.co/RWrmBCiiBf #Watches https://t.co/7lfwSsV2np'",'https://pbs.twimg.com/media/ENLLsc5W4AA3hDd.jpg','2020-01-01T06:12:20Z'
'33218065','https://www.twitter.com/nbtimes1/status/1212253208132931585',"'BEAUTIFUL WHITE DIAL DAYTONA 🎩🎩 ROLEX®️ ZENITH MOVEMENT 16520 🏎🏎 DAYTONA 🏁🏁 UNTOUCHED CONDITION 🤷🏻‍♂️🤷🏻‍♂️ NO BOX AND PAPERS 📑 🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎🏎 🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁🏁 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #rare #Rolex #rarerolex #nbtimes… https://t.co/trv9FdAkDW'",'','2020-01-01T06:04:22Z'
'33218066','https://www.twitter.com/kinchan_jp/status/1212248736425902080',"'初詣マラソンです☺️✨  まずは関門橋のましたの めかり神社⛩  #Rolex #rolex #MILGAUSS #milgauss #ロレックス #ミルガウス #ロレフォト https://t.co/xS0buFqxoP'",'https://pbs.twimg.com/media/ENLFzBbVAAUU-yn.jpg','2020-01-01T05:46:35Z'
'33218068','https://www.twitter.com/morotomo3/status/1212246000686886912',"'嫁と食事しています🍱 突然の獅子舞にビックリしました⁉️ #rolex #デイトナ #新春 #シェラトン https://t.co/Md07yWuRXA'",'https://pbs.twimg.com/media/ENLDS-UUwAA9esz.jpg','2020-01-01T05:35:43Z'
'33218067','https://www.twitter.com/morotomo3/status/1212246000686886912',"'嫁と食事しています🍱 突然の獅子舞にビックリしました⁉️ #rolex #デイトナ #新春 #シェラトン https://t.co/Md07yWuRXA'",'https://pbs.twimg.com/media/ENLDS-GUUAAyXs2.jpg','2020-01-01T05:35:43Z'
'33218069','https://www.twitter.com/nbtimes1/status/1212243354655825920',"'ORANGE HAND EXPLORER 🍊🍊 ROLEX®️ EXPLORER ♊️ ORANGE HAND 🍊 AMAZING PATINA ⚡️ STRAIGHT SECOND HAND FROM EARLY 1970’s 1️⃣6️⃣5️⃣5️⃣ 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #rare #rarerolex #Rolex #rolex1016 #nbtimes #rolexpassion #paulnewman… https://t.co/D218HGJfDo'",'','2020-01-01T05:25:12Z'
'33218070','https://www.twitter.com/everestbands/status/1212229471908114432',"'BIG THANK YOU to all of our customers for the love and support!🙏 We couldn't do it without you! Happy New Year WatchFam🎆 | Customize your Swiss watch at https://t.co/3p8EseFOwe #everestbands #Rolex #TudorBlackBay #PaneraiLuminor https://t.co/EtWg1fI5AS'",'https://pbs.twimg.com/media/ENK0R4bWsAE-3qz.jpg','2020-01-01T04:30:02Z'
'33218071','https://www.twitter.com/ThePureWatch/status/1212225072854896642',"'#Rolex DateJust 36 Silver Jubilee Arabic Dial Steel Mens #Watch 16220 https://t.co/FR2WrAF1xZ #Watches https://t.co/M2q7QruPl5'",'https://pbs.twimg.com/media/ENKwR57XkAANkV8.jpg','2020-01-01T04:12:34Z'
'33218072','https://www.twitter.com/jinguuuuji/status/1212224767794630656',"'今年こそ新しい時計買いたい…買うぞ！今欲しい時計はこれ、欲しい時計はたくさんあるが一周回ってロレックス。店頭で試着したらめちゃくちゃよかった。。。紫のダイアルが素敵や。オーベルジーヌというらしい🥰 #rolex #datejust36 https://t.co/UBZgijd0eL'",'https://pbs.twimg.com/media/ENKv_4IUcAALy4B.jpg','2020-01-01T04:11:21Z'
'33218073','https://www.twitter.com/GoldWatchUK/status/1212222975820390405',"'#UK #Rolex Sea Dweller 126600 43mm Red Writing mk1 BOX AND PAPERWORK 2017 UNWORN https://t.co/Lac4t8GSZK #Watches #Watch https://t.co/OaDbOAHs2P'",'https://pbs.twimg.com/media/ENKuX2qXkAEjsj8.jpg','2020-01-01T04:04:14Z'
'33218074','https://www.twitter.com/chiakimyong/status/1212218451495968768',"'Oh yeah, most of them price increased! But non of my business yet, till date I haven't own one of them yet 😂 #Rolex https://t.co/8NFVeTmPER'",'','2020-01-01T03:46:15Z'
'33218075','https://www.twitter.com/mebius12369/status/1212213097013948416',"'Happy New Year!🎉㊗️May the 2020 bring you a lot of happiness and smiles.💙😊💚  #happynewyear2020 #rolex #rolexskydweller #skydweller #326934 #rolexsubmariner #greensubmariner #116610lv #rolexwatch #watch #watches https://t.co/FPzM9wUesf'",'','2020-01-01T03:24:58Z'
'33218076','https://www.twitter.com/chairu_fikri/status/1212209596959354880',"'Terimakasih 2019 🙏 Ready for 2020 🎖️ . . . . #pencaksilat #pencaksilatindonesia #pesilatindonesia #silatindonesia #beladiriindonesia #tapaksuciindonesia #beyourself #reebok #nike #skechers #indonesia #pencaksilat #pencaksilatindonesia #lightroompresets #rolex'",'','2020-01-01T03:11:04Z'
'33218077','https://www.twitter.com/takepon119fire/status/1212197245442904064',"'あけましておめでとうございます！ 今年もよろしくお願いします！ 今年は何回ゴローズに行けるだろうか… #goros #ゴローズ  #116610lv #rolex #Rolex #ロレックス #ハルク #サブマリーナ https://t.co/Ysp1Nw6JWZ'",'https://pbs.twimg.com/media/ENKW9oiU0AA-_O-.jpg','2020-01-01T02:21:59Z'
'33218078','https://www.twitter.com/ThePureWatch/status/1212194860922486784',"'#Rolex Submariner No Date Steel Black Dial/Bezel Mens Automatic #Watch 14060M https://t.co/PanB5drRfQ #Watches https://t.co/x5JyrMR0DK'",'https://pbs.twimg.com/media/ENKUzW9XYAAlnfq.jpg','2020-01-01T02:12:30Z'
'33218082','https://www.twitter.com/luxsaatlerim/status/1212193115714588672',"'Efsanelerde bugün😍 #rolex https://t.co/ngNRAJmSIA'",'https://pbs.twimg.com/media/ENKTNQXW4AA2KH5.jpg','2020-01-01T02:05:34Z'
'33218079','https://www.twitter.com/luxsaatlerim/status/1212193115714588672',"'Efsanelerde bugün😍 #rolex https://t.co/ngNRAJmSIA'",'https://pbs.twimg.com/media/ENKTJ0sWkAImYKD.jpg','2020-01-01T02:05:34Z'
'33218081','https://www.twitter.com/luxsaatlerim/status/1212193115714588672',"'Efsanelerde bugün😍 #rolex https://t.co/ngNRAJmSIA'",'https://pbs.twimg.com/media/ENKTMDuWoAANoUx.jpg','2020-01-01T02:05:34Z'
'33218080','https://www.twitter.com/luxsaatlerim/status/1212193115714588672',"'Efsanelerde bugün😍 #rolex https://t.co/ngNRAJmSIA'",'https://pbs.twimg.com/media/ENKTK0fX0AA6VtZ.jpg','2020-01-01T02:05:34Z'
'33218086','https://www.twitter.com/luxsaatlerim/status/1212192810352435200',"'Submariner şıklığı🤘 #rolex https://t.co/WpDVvBjrNG'",'https://pbs.twimg.com/media/ENKS7RoXYAAcvu4.jpg','2020-01-01T02:04:22Z'
'33218085','https://www.twitter.com/luxsaatlerim/status/1212192810352435200',"'Submariner şıklığı🤘 #rolex https://t.co/WpDVvBjrNG'",'https://pbs.twimg.com/media/ENKS6OTWwAEPisc.jpg','2020-01-01T02:04:22Z'
'33218084','https://www.twitter.com/luxsaatlerim/status/1212192810352435200',"'Submariner şıklığı🤘 #rolex https://t.co/WpDVvBjrNG'",'https://pbs.twimg.com/media/ENKS5OeWkAEMmkQ.jpg','2020-01-01T02:04:22Z'
'33218083','https://www.twitter.com/luxsaatlerim/status/1212192810352435200',"'Submariner şıklığı🤘 #rolex https://t.co/WpDVvBjrNG'",'https://pbs.twimg.com/media/ENKS4QOXkAEj-ES.jpg','2020-01-01T02:04:22Z'
'33218090','https://www.twitter.com/luxsaatlerim/status/1212192476846600192',"'#rolex https://t.co/mnxFucFN8G'",'https://pbs.twimg.com/media/ENKSnshXsAEf1jf.jpg','2020-01-01T02:03:02Z'
'33218089','https://www.twitter.com/luxsaatlerim/status/1212192476846600192',"'#rolex https://t.co/mnxFucFN8G'",'https://pbs.twimg.com/media/ENKSmvNWwAEaGnB.jpg','2020-01-01T02:03:02Z'
'33218088','https://www.twitter.com/luxsaatlerim/status/1212192476846600192',"'#rolex https://t.co/mnxFucFN8G'",'https://pbs.twimg.com/media/ENKSluhXYAAo3BR.jpg','2020-01-01T02:03:02Z'
'33218087','https://www.twitter.com/luxsaatlerim/status/1212192476846600192',"'#rolex https://t.co/mnxFucFN8G'",'https://pbs.twimg.com/media/ENKSkuVXUAcEmox.jpg','2020-01-01T02:03:02Z'
'33218092','https://www.twitter.com/luxsaatlerim/status/1212190936303886336',"'what's your dream? #rolex https://t.co/qVl8ECVMMl'",'https://pbs.twimg.com/media/ENKRNJWXUAMcybv.jpg','2020-01-01T01:56:55Z'
'33218093','https://www.twitter.com/luxsaatlerim/status/1212190936303886336',"'what's your dream? #rolex https://t.co/qVl8ECVMMl'",'https://pbs.twimg.com/media/ENKROMuWsAA034G.jpg','2020-01-01T01:56:55Z'
'33218091','https://www.twitter.com/luxsaatlerim/status/1212190936303886336',"'what's your dream? #rolex https://t.co/qVl8ECVMMl'",'https://pbs.twimg.com/media/ENKRK9nWsAACJSz.jpg','2020-01-01T01:56:55Z'
'33218094','https://www.twitter.com/ABetterWrist/status/1212182148922298369',"'It's been decades since the Quartz Crisis nearly wiped out the watch industry. But now there's a more terrifying threat to watches, which you can read about in ""The Plot to Destroy the Watch Industry.""   #scifi #watchfiction #rolex #grandseiko  https://t.co/iHgYcm3SYG'",'','2020-01-01T01:22:00Z'
'33218095','https://www.twitter.com/brand_giveaways/status/1212179129090445312',"'HAPPY NEW YEAR! Drop-down your favorite Rolex watch #welcoming2020 #Rolex  Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties. -Helen Keller https://t.co/FckvY9lLaE'",'https://pbs.twimg.com/media/EM2SaCVUcAEGPUx.jpg','2020-01-01T01:10:00Z'
'33218099','https://www.twitter.com/LousinhoC/status/1212178505481494528',"'📆🗓⌚📅🎄🎅💡🎁🎉🎆🥂🍽🍴🍷🥤Último día del año 2019.. lunes 31 de diciembre.. #AnoNuevo2020 #Adios2019 #FelizAnoNuevo #findeano2019 #NewYearChallenge #felizNochevieja #calendario #almanaque #RenuncieDuque #FalsosPositivos #fecha #watchtime #relojes #rolexwatch #rolex #watches https://t.co/zy7gcbopKL'",'https://pbs.twimg.com/media/ENKF7IOXUAAjKtl.jpg','2020-01-01T01:07:31Z'
'33218098','https://www.twitter.com/LousinhoC/status/1212178505481494528',"'📆🗓⌚📅🎄🎅💡🎁🎉🎆🥂🍽🍴🍷🥤Último día del año 2019.. lunes 31 de diciembre.. #AnoNuevo2020 #Adios2019 #FelizAnoNuevo #findeano2019 #NewYearChallenge #felizNochevieja #calendario #almanaque #RenuncieDuque #FalsosPositivos #fecha #watchtime #relojes #rolexwatch #rolex #watches https://t.co/zy7gcbopKL'",'https://pbs.twimg.com/media/ENKF65zWkAAH25W.jpg','2020-01-01T01:07:31Z'
'33218096','https://www.twitter.com/LousinhoC/status/1212178505481494528',"'📆🗓⌚📅🎄🎅💡🎁🎉🎆🥂🍽🍴🍷🥤Último día del año 2019.. lunes 31 de diciembre.. #AnoNuevo2020 #Adios2019 #FelizAnoNuevo #findeano2019 #NewYearChallenge #felizNochevieja #calendario #almanaque #RenuncieDuque #FalsosPositivos #fecha #watchtime #relojes #rolexwatch #rolex #watches https://t.co/zy7gcbopKL'",'https://pbs.twimg.com/media/ENKF5mLXUAMlq8d.jpg','2020-01-01T01:07:31Z'
'33218097','https://www.twitter.com/LousinhoC/status/1212178505481494528',"'📆🗓⌚📅🎄🎅💡🎁🎉🎆🥂🍽🍴🍷🥤Último día del año 2019.. lunes 31 de diciembre.. #AnoNuevo2020 #Adios2019 #FelizAnoNuevo #findeano2019 #NewYearChallenge #felizNochevieja #calendario #almanaque #RenuncieDuque #FalsosPositivos #fecha #watchtime #relojes #rolexwatch #rolex #watches https://t.co/zy7gcbopKL'",'https://pbs.twimg.com/media/ENKF6kdXUAAxiFU.jpg','2020-01-01T01:07:31Z'
'33218100','https://www.twitter.com/Yosix_ETN/status/1212172754226577408',"'新年のRolex好きなんよ  #Rolex https://t.co/GM0Fd5qgGB'",'https://pbs.twimg.com/media/ENKAsRmVUAATZPw.jpg','2020-01-01T00:44:40Z'
'33218101','https://www.twitter.com/Beckertime/status/1212171597378965505',"'https://t.co/9wAu8gyelw #Rolex 2-Tone 14K/SS #Datejust Ref. 6917. Listed for just $2,899.98 @Beckertime  #rolexdatejust #wristcandy #wristporn #wristgame #LadiesRolex #wriststyle #wristswag #wristshots #luxurybrands #watchcollector #Holidays2019 #rolexaholic #christmas2019 https://t.co/JLuCZhlnEV'",'https://pbs.twimg.com/media/ENJ_pNGW4AIqtfa.jpg','2020-01-01T00:40:04Z'
'33218102','https://www.twitter.com/Beckertime/status/1212171597378965505',"'https://t.co/9wAu8gyelw #Rolex 2-Tone 14K/SS #Datejust Ref. 6917. Listed for just $2,899.98 @Beckertime  #rolexdatejust #wristcandy #wristporn #wristgame #LadiesRolex #wriststyle #wristswag #wristshots #luxurybrands #watchcollector #Holidays2019 #rolexaholic #christmas2019 https://t.co/JLuCZhlnEV'",'https://pbs.twimg.com/media/ENJ_pM_XkAABcEw.jpg','2020-01-01T00:40:04Z'
'33218103','https://www.twitter.com/thebradhopper/status/1212167811822432256',"'Happy 2020 mothers cluckers. #love #life #event #brother #Adidas #nike #rolex #❤ #model #2020 #watch https://t.co/h0krDQR2gv'",'','2020-01-01T00:25:01Z'
'33218104','https://www.twitter.com/ThePureWatch/status/1212164627741712387',"'#Rolex Men's 36mm Datejust Stainless Steel Silver Linen Stick Dial Fluted Bezel https://t.co/HagpDLuAHR #Watch #Watches https://t.co/5lECDPyQ0F'",'https://pbs.twimg.com/media/ENJ5TjIXUAAYE_F.jpg','2020-01-01T00:12:22Z'
'33218105','https://www.twitter.com/diamond_crypto/status/1212164522745708546',"'25% NOT ENOUGH? FOR THE NEXT 12 HOURS EVERYTHING IS 30% OFF THE WHOLE #store!!!!!!! #Crypto #merchandise and hot #Diamonds and #Gold DISCOUNTED #authentic #rolex !!!!!! #Amazing #SALES #FLASH #SALES https://t.co/ov6Y5TeK5h  $BTC $VET $ZEC $SHA $ADA $LINK $XRP $NEO $TRX $DASH'",'','2020-01-01T00:11:57Z'
'33218106','https://www.twitter.com/UdedokeiCom/status/1212153703165095937',"'【ロレックス エクスプローラー Ⅰ Ref.214270】の価格・スペックをチェック！https://t.co/txuScp2z7P #ROLEX　#ロレックス #エクスプローラーⅠ#Ref214270'",'','2019-12-31T23:28:58Z'
'33218107','https://www.twitter.com/briller_gmt/status/1212146551478308864',"'明けましておめでとうございます。 今年最初のおすすめは、美しいロレックス デイトジャスト  279171NGです。BRILLERなら、今年1年を輝かせる時計に出会えます。  #レディース腕時計 #ロレックス #rolex #ご褒美 #記念日 #成人祝い  https://t.co/dt9U2iBseD https://t.co/wrbv7tHpso'",'https://pbs.twimg.com/media/ENJo3T6UYAE1StK.png','2019-12-31T23:00:33Z'
'33218108','https://www.twitter.com/everestbands/status/1212146471245627399',"'Everest AD shout out!🎉 @bulangandsons is showing us how awesome Black Rubber is on the Sub C ND🖤 Killer combo Friends 🙌😍 | Customize your Rolex watch at https://t.co/3p8EseFOwe #rolex #subc #rolexsubmariner #116610ln #116610lv #114060 #everestbands https://t.co/woKNt3YFoM'",'https://pbs.twimg.com/media/ENJoyZ6WwAASqnb.jpg','2019-12-31T23:00:13Z'
'33218109','https://www.twitter.com/WilsonandSon/status/1212146179829649411',"'The skipper's watch. The Rolex Yacht-Master II in Oystersteel, 44 mm case, white dial,  Oyster bracelet.  #Rolex #YachtMasterII https://t.co/3H5qebkXMk'",'https://pbs.twimg.com/media/ENJohjiXUAAfaJK.jpg','2019-12-31T22:59:04Z'
'33218110','https://www.twitter.com/diamond_crypto/status/1212141294421708800',"'https://t.co/ytEwtD8CPi @DMX with my favorite hype song of 2019, a classic #Tupac diss ""Get At Me Dawg""  ONLY A FEW HOURS OF 25% OFF EVERYTHING STEP YOUR #jewellery UP DISCOUNTED ROLEX'S AND MUCH MORE https://t.co/psCQCNhJic #Sales #rolex'",'','2019-12-31T22:39:39Z'
'33218111','https://www.twitter.com/FashionTranding/status/1212139172112277504',"'#Beautiful #Amazing #Rolex #Clocks #World #Beast #Clockes. https://t.co/QZabPSw58U'",'https://pbs.twimg.com/media/ENJiJOJXUAA3iKM.jpg','2019-12-31T22:31:13Z'
'33218112','https://www.twitter.com/ThePureWatch/status/1212134406468583424',"'#Rolex New Datejust 279171 White Roman Steel/Rose Box/Paper/5YearWarranty #RL446 https://t.co/Ua0fZQvnRl #Watch #Watches https://t.co/ELXkZ8zHjV'",'https://pbs.twimg.com/media/ENJd0coWoAYxHhc.jpg','2019-12-31T22:12:17Z'
'33218113','https://www.twitter.com/GoldWatchUK/status/1212132390824493058',"'#UK #ROLEX Submariner Date 116610LN STAINLESS STEEL BLACK 2013 full set Ceramic https://t.co/gfQutZ2zeg #Watches #Watch https://t.co/DJNGEOUaJ3'",'https://pbs.twimg.com/media/ENJb_HGWsAE_-bE.jpg','2019-12-31T22:04:16Z'
'33209900','https://www.twitter.com/RitzJewelersLA/status/1212124573346488321',"'•Happy•New•Year• 🕑🕒🕓🕗🕜🕦🕢🕥🕙 #newyear #happynewyear #ritz #ritzjewelersla #ritzjewelers #2020 #goodbye2019 #rolex #watches #jewelry #finejewelry #familyowned #jewelrystore #party #celebration #life #love #happiness @… https://t.co/W4ji3DW9xf'",'','2019-12-31T21:33:13Z'
'33209901','https://www.twitter.com/Fyllerpa/status/1212123912064184320',"'Fick en #Rolex i nyårspresent! https://t.co/ZxFekyWWiz'",'https://pbs.twimg.com/media/ENJURKGXkAAMD9e.jpg','2019-12-31T21:30:35Z'
'33209902','https://www.twitter.com/DeMoN8EyE/status/1212119930184904705',"'Had a lovely new year eve with a simple yet heartwarming family #bbq .... happy new year #2020NewYear #rolex https://t.co/fLB9UjsaHE'",'https://pbs.twimg.com/ext_tw_video_thumb/1212119823217577986/pu/img/ASBbZP3s_XSdWwNR.jpg','2019-12-31T21:14:46Z'
'33209903','https://www.twitter.com/RezartJasa/status/1212117056725962752',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à Valparaíso, Chile https://t.co/BAZpH12wz7'",'','2019-12-31T21:03:21Z'
'33209904','https://www.twitter.com/RezartJasa/status/1212116915994472448',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à Valparaíso, Chile https://t.co/gS0KuFESRJ'",'','2019-12-31T21:02:47Z'
'33209905','https://www.twitter.com/RezartJasa/status/1212116766849196032',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à La Comarca del Maco https://t.co/8sx1DUafC5'",'','2019-12-31T21:02:11Z'
'33209906','https://www.twitter.com/RezartJasa/status/1212116641263292416',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à Valparaíso, Chile https://t.co/fZ8JKleHJK'",'','2019-12-31T21:01:41Z'
'33209907','https://www.twitter.com/RezartJasa/status/1212116475223392257',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à Valparaíso, Chile https://t.co/eKZ6rbFdLF'",'','2019-12-31T21:01:02Z'
'33209908','https://www.twitter.com/ZJFP6Wc9v4IHr3H/status/1212116466113241088',"'#parody  #watch  #high  #brand     #highbrand   #richardmille     #patekphilippe  #piaget     #audemarspiguet  #rolex     #hublot  #vacheronconstantin     #givenchy  #fendi  #gucci     #moncler   #cromehearts     #thenorthface   #balenciaga     #offwhite  #dior   #hermes https://t.co/hSrd5yLsPf'",'https://pbs.twimg.com/media/ENJNf_sVAAAhPym.jpg','2019-12-31T21:01:00Z'
'33209909','https://www.twitter.com/ZJFP6Wc9v4IHr3H/status/1212116406088585216',"'#parody  #watch  #high  #brand     #highbrand   #richardmille     #patekphilippe  #piaget     #audemarspiguet  #rolex     #hublot  #vacheronconstantin     #givenchy  #fendi  #gucci     #moncler   #cromehearts     #thenorthface   #balenciaga     #offwhite  #dior   #hermes https://t.co/HxvX8tyicD'",'https://pbs.twimg.com/media/ENJNcexUwAAtS7b.jpg','2019-12-31T21:00:45Z'
'33209910','https://www.twitter.com/ZJFP6Wc9v4IHr3H/status/1212116339889852417',"'#parody  #watch  #high  #brand     #highbrand   #richardmille     #patekphilippe  #piaget     #audemarspiguet  #rolex     #hublot  #vacheronconstantin     #givenchy  #fendi  #gucci     #moncler   #cromehearts     #thenorthface   #balenciaga     #offwhite  #dior   #hermes https://t.co/Znm8KfTPbK'",'https://pbs.twimg.com/media/ENJNYrDUcAAeuKC.jpg','2019-12-31T21:00:30Z'
'33209911','https://www.twitter.com/RezartJasa/status/1212116284344811521',"'#valparaiso #chili #holiday #graffiti #streetart #kenzo #rolex #rezartjasa #couleurs #holydaytime #nouvelan à Cerro Concepción https://t.co/4kpONqZKj4'",'','2019-12-31T21:00:16Z'
'33209912','https://www.twitter.com/ZJFP6Wc9v4IHr3H/status/1212116280196550656',"'#parody  #watch  #high  #brand     #highbrand   #richardmille     #patekphilippe  #piaget     #audemarspiguet  #rolex     #hublot  #vacheronconstantin     #givenchy  #fendi  #gucci     #moncler   #cromehearts     #thenorthface   #balenciaga     #offwhite  #dior   #hermes https://t.co/BWzr9l2aMX'",'https://pbs.twimg.com/media/ENJNVNaUcAADmCS.jpg','2019-12-31T21:00:15Z'
